date,price
datetime,float
T,
1984-05-24,30.625
1984-05-23,30.625
1984-05-22,30.625
1984-05-18,30.625
1984-04-12,30.625
1990-12-04,30.75
1984-04-13,30.75
1984-04-10,30.875
1984-04-05,30.875
1978-10-16,31
2000-03-07,31.0625
1990-11-29,31.125
1984-05-17,31.125
1978-09-28,31.24992
1990-11-23,31.25
1984-05-04,31.375
1984-03-23,31.5
1979-09-21,31.62496
1978-04-13,31.62496
1990-12-05,31.625
1984-05-29,31.75
1984-05-11,31.75
1984-05-02,31.875
1984-05-25,32
1984-05-16,32
1984-05-03,32
1978-10-04,32
1978-09-29,32
1979-09-17,32.124962
1990-12-11,32.125
1990-11-28,32.125
1990-11-21,32.125
1984-05-14,32.125
1984-05-07,32.125
1990-12-06,32.25
1990-11-26,32.25
1985-01-25,32.25
1984-11-16,32.25
1990-12-17,32.375
1990-12-07,32.375
1984-05-08,32.375
1979-09-24,32.375038
1979-09-18,32.375038
1978-10-05,32.375038
1978-04-18,32.375038
2000-03-14,32.5
1991-04-15,32.5
1991-01-14,32.5
1990-12-12,32.5
1990-11-27,32.5
1984-05-30,32.5
1984-05-15,32.5
1984-04-04,32.5
1984-03-26,32.5
1984-03-22,32.5
1979-10-19,32.5
1979-09-13,32.5
1978-10-03,32.5
1979-10-22,32.624962
1979-09-20,32.624962
1978-04-17,32.624962
1990-12-18,32.625
1985-01-28,32.625
1984-05-10,32.625
2000-03-06,32.75
1991-12-17,32.75
1991-01-08,32.75
1990-12-14,32.75
1984-05-31,32.75
1984-03-19,32.75
1978-10-06,32.75008
2000-03-13,32.8125
1991-01-15,32.875
1990-12-10,32.875
1990-11-20,32.875
1985-01-09,32.875
1984-06-14,32.875
1984-06-13,32.875
1991-04-12,33
1991-01-09,33
1990-12-13,33
1990-11-07,33
1990-10-31,33
1984-11-19,33
1984-06-15,33
1984-06-01,33
1984-05-09,33
1979-10-25,33
1979-10-16,33
1979-10-15,33
1979-09-25,33
1979-09-19,33
1979-09-14,33
1978-10-02,33
1978-04-24,33
1978-04-19,33
2000-03-08,33.0625
1991-01-11,33.125
1984-12-21,33.125
1984-12-20,33.125
1979-10-24,33.24992
1979-10-23,33.24992
1978-10-10,33.24992
1991-12-19,33.25
1991-12-18,33.25
1991-01-07,33.25
1990-11-02,33.25
1984-11-15,33.25
1984-03-27,33.25
2000-03-09,33.375
1991-12-16,33.375
1991-04-16,33.375
1991-04-11,33.375
1990-11-01,33.375
1990-10-30,33.375
1985-03-13,33.375
1991-01-16,33.5
1991-01-10,33.5
1990-12-20,33.5
1990-11-09,33.5
1985-03-07,33.5
1985-01-31,33.5
1985-01-24,33.5
1984-12-03,33.5
1984-11-30,33.5
1984-06-18,33.5
1984-04-03,33.5
1979-10-18,33.5
2000-03-10,33.5625
2000-02-25,33.5625
1978-04-21,33.624962
1978-04-14,33.624962
1990-11-08,33.625
1985-01-08,33.625
1984-07-16,33.625
1984-03-16,33.625
1990-12-28,33.75
1990-11-19,33.75
1990-11-06,33.75
1985-03-15,33.75
1985-03-14,33.75
1985-03-06,33.75
1985-01-03,33.75
1985-01-02,33.75
1984-12-13,33.75
1984-11-21,33.75
1984-07-23,33.75
1984-06-12,33.75
1984-04-02,33.75
1984-03-21,33.75
1979-10-17,33.75008
1978-10-13,33.75008
1978-10-09,33.75008
2000-05-26,33.8125
2000-03-15,33.8125
